Ticker,Is 3/4 bar play,Has acceptable spreads
MAR,False,True
PACB,False,True
SNPS,False,False
FOCS,False,False
PRGS,False,True
EYE,False,False
TEAM,False,True
WAFD,False,False
NTCT,False,True
MGNI,False,True
EXLS,False,False
FHB,False,False
FLWS,False,True
GBT,False,True
CG,False,True
ILMN,False,False
SDGR,False,True
WMG,True,False
WWD,False,False
GH,False,False
TCBI,False,False
SYNH,False,False
SWAV,False,False
VERX,False,True
COLM,False,False
RVNC,False,True
SBGI,False,True
FIZZ,False,True
CIGI,False,False
RCKT,False,True
RARE,False,False
HYFM,False,True
MKTW,False,True
SFM,False,True
ASO,False,True
FFBC,False,False
LBRDA,False,False
TTEK,False,False
CVCO,False,False
MRNA,False,True
CDW,False,False
IBRX,False,True
NTES,False,True
VCTR,False,False
IRBT,False,True
FOLD,False,True
AFRM,False,True
ALEC,False,True
NVCR,False,False
ARWR,False,False
LULU,False,False
FORM,False,False
ALLO,False,True
SPLK,False,True
TSCO,False,True
SWKS,False,True
HST,False,True
GRWG,False,True
SNY,False,True
VRNS,False,True
XPER,False,False
ARNA,,
LTRPB,,
IRCP,,
AEP,,
NVDA,,
CENTA,,
EVBG,,
MDB,,
BBBY,,
CLDX,,
HCAT,,
LSTR,,
SDC,,
NFLX,,
AEIS,,
GOCO,,
PTC,,
CERE,,
AAPL,,
CORT,,
CSGP,,
LHCG,,
DXCM,,
WW,,
AMBA,,
IRWD,,
MU,,
API,,
ARGX,,
WIX,,
TCOM,,
LRCX,,
VG,,
TDUP,,
IDXX,,
GILD,,
HZNP,,
HALO,,
AFYA,,
SRNG,,
SIRI,,
INCY,,
SHC,,
TWST,,
SGEN,,
LBTYK,,
BBIO,,
MVST,,
ALTR,,
VSAT,,
BPOP,,
GRUB,,
LGIH,,
OZON,,
EVCM,,
PPD,,
UFPI,,
AXNX,,
NBIX,,
STMP,,
NKLA,,
DORM,,
VNET,,
BNTX,,
MAT,,
PSEC,,
RGEN,,
ANGI,,
CARG,,
ULCC,,
TROW,,
KHC,,
CNXC,,
MXIM,,
SKIN,,
NEO,,
CHK,,
VNOM,,
ALNY,,
SANA,,
LSXMK,,
BMBL,,
CFLT,,
PCAR,,
INFN,,
AMD,,
HLNE,,
PYCR,,
SYKE,,
BIGC,,
AMGN,,
LSXMB,,
FUTU,,
CMCSA,,
LBRDK,,
OPK,,
BZ,,
KNBE,,
CROX,,
MSFT,,
TXN,,
DRVN,,
WLTW,,
BOKF,,
SIGI,,
LNT,,
YY,,
AMCX,,
FIVE,,
OMCL,,
CZR,,
VLY,,
LBTYA,,
HOOD,,
AMAT,,
ABCM,,
STAA,,
STLD,,
NWE,,
UMPQ,,
FFIE,,
IOSP,,
HUBG,,
ADP,,
TMUS,,
SLGN,,
OLED,,
TWOU,,
SEIC,,
UCTT,,
CBSH,,
POWI,,
NWL,,
YNDX,,
TTD,,
PECO,,
PPBI,,
MEOH,,
AXON,,
AMED,,
RDFN,,
UPWK,,
ALXO,,
RUN,,
AGIO,,
CACC,,
RETA,,
VIR,,
TTEC,,
SSNC,,
FAST,,
PPC,,
DISH,,
FEYE,,
BLMN,,
RGLD,,
NTLA,,
SMFR,,
BILI,,
FLEX,,
KLIC,,
PTGX,,
SHCR,,
HEPS,,
LITE,,
ALKS,,
ABMD,,
RXT,,
CGC,,
XP,,
SRPT,,
EVGO,,
NTRS,,
IQ,,
LOB,,
EQIX,,
CELH,,
CRVL,,
CGNX,,
ARVN,,
FA,,
RPD,,
XRAY,,
APA,,
LSXMA,,
PCRX,,
CERN,,
OLK,,
DSEY,,
CLOV,,
CVLT,,
FULT,,
SBNY,,
ALLK,,
MANT,,
FOXA,,
INSM,,
BRP,,
RVMD,,
VIAC,,
IBKR,,
PODD,,
WDC,,
QRTEA,,
MLCO,,
IART,,
WBA,,
WTFC,,
NCNO,,
CSIQ,,
TREE,,
OSTK,,
FISV,,
ANAT,,
ALGM,,
COHR,,
EWBC,,
ADBE,,
MIME,,
RLAY,,
VRSN,,
HWC,,
XPEL,,
NUAN,,
